artist_id,full_name,school,east_german,professor_class,gender,country_iso3,continent,region,instagram_handle,instagram_private,instagram_private_allowed,is_business,is_private,follower_count,following_count,posts_count,website,img_count,avg_likes,avg_comments,avg_file_size,avg_width,avg_height,avg_aspect_ratio,umap_1,umap_2
juliamueller,Julia Mueller,Leipzig,True,Ruckhäberle,F,,,,julia.mueller.julia.mueller,False,False,False,False,210.0,325.0,16.0,,29,47.3333333333333,0.166666666666667,1236435.13793103,964.0,1135.41379310345,0.874493996047912,8.580419,6.485573
julianemahler,Juliane Mahler,Leipzig,True,Ruckhäberle,F,DEU,Europe,Europe & Central Asia,,False,False,,,,,,https://cargocollective.com/julianemahler/,26,,,154882.730769231,430.653846153846,562.153846153846,0.773893425032709,7.4351573,7.8179836
juliebatteux,Julie Batteux,Nürnberg,False,Kühn,F,,,,juliebatteux,False,False,True,False,801.0,794.0,127.0,,27,97.6666666666667,1.2,232674.962962963,870.925925925926,929.888888888889,0.943021455481202,5.255853,6.391464
julienhbsch,Julien Hübsch,Mainz,False,Bool,M,,,,julienhubsch,False,False,False,False,759.0,724.0,222.0,,92,44.9090909090909,1.13636363636364,586708.913043478,898.184782608696,1074.45652173913,0.863244551160768,6.619417,4.9031525
junpeiuchida,Junpei Uchida,Munchen,False,Doberauer,M,JPN,Asia,East Asia & Pacific,uchidajunpei,False,False,False,False,196.0,713.0,32.0,http://junpeiuchida.com/,48,,,2130405.25,2449.25,3199.0,0.817756806792799,7.5055766,8.5612545
jurajernk,Juraj Černák,Braunschweig,False,Scholz,M,SVK,Europe,Europe & Central Asia,juraj_cernak,False,False,False,False,504.0,593.0,333.0,https://npiece.com/juraj-cernak/works:all?l=en/,95,27.5777777777778,1.32222222222222,337147.168421053,887.41052631579,1009.66315789474,0.919347450480424,3.812567,6.2853184
kaifanwang,Kaifan Wang,UDKBerlin,True,Lucander,M,,,,w_kaifan,False,False,True,False,1165.0,168.0,88.0,,48,42.2222222222222,1.75,482008.541666667,728.354166666667,1045.5625,0.735445754706968,5.5703993,4.7621803
karahondong,Kara Hondong,Mainz,False,Bool,F,,,,karamagdalena,False,False,False,False,424.0,699.0,341.0,,73,32.2352941176471,0.838235294117647,319165.438356164,885.479452054794,888.191780821918,1.02429002902567,6.032202,4.775081
karimstonjeck,Karim Stonjeck,Dresden,True,Macketanz,M,DEU,Europe,Europe & Central Asia,,False,False,,,,,,https://karimstonjeck.wordpress.com/,64,,,928306.203125,1010.0625,1203.6875,0.847170377284429,4.083221,7.506046
kateandrews,Kate Andrews,Bremen,False,Baumkötter,F,,,,katedevonandrews,False,False,False,False,191.0,325.0,57.0,,33,22.6111111111111,1.33333333333333,266583.151515151,910.727272727273,1027.78787878788,0.883199937116721,9.1965065,5.987637
