head,display,variable,Df,variance,variance_pct,F_stat,p_value
scflow_style,SCFlow-Style,school,1,0.004607008297916382,0.30734578319060035,1.5154099729858033,0.181
scflow_style,SCFlow-Style,gender,2,0.019507499928259175,1.301397231312349,3.2083575747707878,0.013
scflow_style,SCFlow-Style,professor_class,28,0.1424924972940349,9.506053679006103,1.6739601425188144,0.002
scflow_style,SCFlow-Style,continent,3,0.023791631294193483,1.5872030351677502,2.608639779899981,0.002
goya_content,GOYA-Content,school,1,0.10534226840152172,0.34431665961818175,1.5378631645293643,0.174
goya_content,GOYA-Content,gender,2,0.17219312383252472,0.5628221425918941,1.256900322850167,0.272
goya_content,GOYA-Content,professor_class,28,1.9782246717292793,6.465929785638262,1.0314130242775725,0.413
goya_content,GOYA-Content,continent,3,0.12577373808612435,0.41109797636445095,0.6120455470307699,0.588
goya_style,GOYA-Style,school,1,0.19228903146758825,0.8141406587444953,4.239085478419058,0.009
goya_style,GOYA-Style,gender,2,0.2132133811908865,0.9027331475490252,2.350185398284825,0.035
goya_style,GOYA-Style,professor_class,28,2.8341040994482825,11.999433149488933,2.2313897248112498,0.001
goya_style,GOYA-Style,continent,3,0.31131060191626503,1.3180711171296025,2.2876538888518216,0.015
kim_c,KIM-C,school,1,0.10179283699978114,0.4400967945681748,2.2551884998461524,0.058
kim_c,KIM-C,gender,2,0.30408571784792215,1.3147010501251741,3.368462035592791,0.001
kim_c,KIM-C,professor_class,28,2.4300451432668453,10.506191886664865,1.9227461040077787,0.001
kim_c,KIM-C,continent,3,0.4455787688440971,1.9264399507437093,3.290552802764093,0.001
kim_a,KIM-A,school,1,0.28899425464287276,0.2614047633736665,1.224987207822828,0.279
kim_a,KIM-A,gender,2,1.3370582962921276,1.2094129967772391,2.8337575622312374,0.026
kim_a,KIM-A,professor_class,28,7.836408777275366,7.088288259067334,1.1863187531549872,0.185
kim_a,KIM-A,continent,3,1.7991733558658325,1.6274111952139199,2.542108606178443,0.016
sscd,SSCD,school,1,0.3638651229297807,0.23368283178553592,1.078373221676633,0.342
sscd,SSCD,gender,2,1.47923065146324,0.9499970887965572,2.1919698024054317,0.001
sscd,SSCD,professor_class,28,11.642003526743366,7.476771419808763,1.232248676261732,0.001
sscd,SSCD,continent,3,1.4553714742490342,0.9346741580067203,1.4377430230056925,0.002
